city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,Permit_Portal,Permit_URL,Metro_Population
New York,New York,NY,New York,36081,Queens,40.6943,-73.9249,18832416,10943.7,shape,FALSE,TRUE,America/New_York,1,11229 11228 11226 11225 11224 11222 11221 11220 11385 10169 10168 10167 10165 10162 10282 10280 10040 10044 11109 11102 11103 11106 11104 11697 11694 11692 11693 11691 10271 10279 10278 10075 11249 10452 11451 10475 10474 10471 10470 10473 10472 11223 10103 11368 11369 11366 11367 11364 11365 11362 11363 11360 11361 10028 10029 10026 10027 10024 10025 10022 10023 10020 10021 11212 11213 11210 11211 11216 11217 11214 11215 11218 11219 10152 10153 10154 10310 10311 10312 10314 11439 11432 11433 11430 11436 11434 11435 10453 10451 10457 10456 10455 10454 10459 10458 10128 10004 10005 10006 10007 10001 10002 10003 10009 11238 11239 11230 11231 11232 11233 11234 11235 11236 11237 11379 11378 11375 11374 11377 11371 11370 11373 11372 10170 10171 10172 10173 10174 10177 11356 10039 10038 10035 10034 10037 10036 10031 10030 10033 10032 11201 11209 11203 11205 11204 11207 11206 11208 11411 11412 11413 11414 11415 11416 11417 11418 11419 11101 11105 11001 11005 11004 10065 10069 10199 10309 10308 10307 10306 10305 10304 10303 10302 10301 11429 11428 11421 11420 11423 11422 11424 11427 11426 10466 10467 10464 10465 10462 10463 10460 10461 10468 10469 10119 10115 10112 10110 10111 11359 11358 11357 11355 11354 10019 10018 10013 10012 10011 10010 10017 10016 10014 10008 10041 10043 10055 10060 10081 10087 10090 10101 10102 10104 10105 10106 10107 10108 10109 10113 10114 10116 10117 10118 10120 10121 10122 10123 10124 10125 10126 10129 10130 10131 10132 10133 10138 10150 10151 10155 10156 10157 10158 10159 10160 10163 10164 10166 10175 10176 10178 10179 10185 10203 10211 10212 10213 10242 10249 10256 10258 10259 10260 10261 10265 10268 10269 10270 10272 10273 10274 10275 10276 10277 10281 10285 10286 10313 11120 11202 11241 11242 11243 11245 11247 11251 11252 11256 11351 11352 11380 11386 11405 11425 11431 11437 11499 11690 11695,1840034016,Accela,https://a810-dobnow.nyc.gov/publish/Index.html,18832416
Los Angeles,Los Angeles,CA,California,06037,Los Angeles,34.1141,-118.4068,11885717,3165.7,shape,FALSE,TRUE,America/Los_Angeles,1,91367 90291 90293 90292 91316 91311 90035 90034 90037 90031 90039 90008 90004 90005 90006 90007 90001 90002 90003 91504 91040 90710 90089 91307 91344 91345 91340 91342 91343 90036 90247 91411 91436 91371 91608 91605 91604 91607 91606 91601 91602 90402 90068 90069 90062 90063 90061 90066 90067 90064 90065 90248 91326 91324 91325 90013 90012 90011 90010 90017 90016 90015 90014 91364 90028 90095 90094 91042 91352 91356 91406 91402 90041 90042 90043 90044 90045 90046 90047 90048 90049 90019 90018 91423 90210 91303 91304 91306 90079 90071 90077 90059 91331 91330 91335 90026 90027 90024 90025 90023 90020 90021 90029 90272 90732 90731 90230 91405 91403 91401 90033 90032 90038 90057 90052 90058 90744 90501 90502 90009 90030 90050 90051 90053 90054 90055 90060 90070 90072 90074 90075 90076 90078 90080 90081 90082 90083 90084 90085 90086 90087 90088 90093 90099 90134 90140 90189 90213 90294 90295 90733 90734 90748 91041 91043 91305 91308 91309 91313 91327 91328 91333 91334 91337 91346 91353 91357 91365 91392 91393 91394 91395 91396 91404 91407 91408 91409 91410 91412 91413 91416 91426 91470 91482 91499 91603 91609 91610 91614 91615 91616 91617 91618,1840020491,Unknown,https://permitla.lacitydbs.org/,11885717
Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8489066,4590.3,shape,FALSE,TRUE,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60631 60827 60661 60660 60638 60639 60634 60636 60637 60630 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494,Infor Public Sector,https://ipi.cityofchicago.org/Permits,8489066
Miami,Miami,FL,Florida,12086,Miami-Dade,25.7840,-80.2101,6113982,4791.1,shape,FALSE,TRUE,America/New_York,1,33128 33129 33125 33126 33127 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109 33192 33195 33222 33231 33233 33238 33255 33299,1840015149,Custom/iBuild with Avolve ProjectDox,https://www.miami.gov/Permits-Construction,6113982
Houston,Houston,TX,Texas,48201,Harris,29.7860,-95.3885,6046392,1386.2,shape,FALSE,TRUE,America/Chicago,1,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77346 77571 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77093 77044 77043 77042 77204 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77094 77091 77092 77053 77345 77547 77080 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77096 77090 77098 77099 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77046 77045 77041 77040 77048 77336 77339 77338 77489 77003 77002 77007 77006 77005 77004 77009 77008 77450 77086 77089 77088 77083 77082 77081 77087 77085 77084 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77201 77202 77203 77205 77206 77207 77208 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,1840020925,Unknown,https://permits.houstontx.gov,6046392
Dallas,Dallas,TX,Texas,48113,Dallas,32.7935,-96.7667,5843632,1477.1,shape,FALSE,TRUE,America/Chicago,1,75098 75287 75230 75231 75236 75237 75235 75254 75251 75252 75253 75043 75032 75227 75238 75232 75233 75234 75089 75088 75087 75247 75244 75249 75248 75051 75166 75210 75211 75212 75214 75215 75216 75217 75218 75219 75390 75182 75229 75228 75220 75223 75225 75224 75226 75243 75241 75240 75246 75270 75207 75206 75204 75203 75202 75201 75209 75208 75019 75221 75222 75242 75250 75260 75262 75263 75264 75266 75267 75277 75283 75284 75285 75301 75303 75312 75313 75315 75320 75336 75339 75342 75354 75355 75356 75357 75358 75359 75360 75367 75370 75371 75372 75373 75374 75376 75378 75379 75380 75382 75389 75392 75393 75394 75395 75397 75398,1840019440,Accela,https://aca-prod.accela.com/DALLASTX/Default.aspx,5843632
Philadelphia,Philadelphia,PA,Pennsylvania,42101,Philadelphia,40.0077,-75.1339,5696588,4548.5,shape,FALSE,TRUE,America/New_York,1,19154 19151 19150 19153 19152 19102 19103 19106 19107 19104 19108 19109 19128 19129 19120 19121 19122 19123 19124 19125 19126 19127 19112 19111 19115 19114 19116 19119 19118 19148 19149 19146 19147 19144 19145 19142 19143 19140 19141 19139 19138 19137 19136 19135 19134 19133 19132 19131 19130 19019 19092 19093 19101 19105 19110 19155 19160 19161 19162 19170 19171 19172 19173 19175 19176 19177 19178 19179 19181 19182 19183 19184 19185 19187 19188 19190 19191 19192 19193 19194 19195 19196 19197 19244 19255,1840000673,Computronix,https://eclipse.phila.gov/phillylmsprod/pub/lms/Default.aspx,5696588
Atlanta,Atlanta,GA,Georgia,13121,Fulton,33.7628,-84.4220,5211164,1424.8,shape,FALSE,TRUE,America/New_York,1,30334 30331 30332 30309 30308 30354 30327 30322 30326 30324 30319 30342 30305 30307 30306 30316 30317 30314 30315 30312 30313 30310 30311 30303 30363 30318 30301 30302 30304 30321 30325 30333 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31139 31141 31193,1840013660,Accela,https://permits.atlantaga.gov/,5211164
Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5146120,4245.2,shape,FALSE,TRUE,America/New_York,1,20250 20010 20011 20012 20015 20520 20418 20415 20020 20024 20510 20515 20427 20422 20530 20542 20540 20240 20245 20204 20005 20004 20003 20002 20001 20009 20008 20317 20319 20390 20059 20057 20052 20388 20017 20018 20565 20566 20560 20591 20220 20064 20551 20230 20373 20260 20007 20006 20032 20036 20037 20431 20045 20408 20535 20016 20019 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20053 20055 20056 20058 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20202 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20221 20222 20223 20224 20226 20227 20228 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20405 20406 20407 20410 20411 20412 20413 20414 20416 20417 20419 20420 20421 20423 20424 20425 20426 20428 20429 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20506 20507 20508 20509 20511 20521 20522 20523 20524 20525 20526 20527 20528 20529 20531 20533 20534 20536 20537 20538 20539 20541 20543 20544 20546 20547 20548 20549 20552 20553 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20593 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,1840006060,Accela,https://citizenaccess.dc.gov/,5146120
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0852,4355184,5303.2,shape,FALSE,TRUE,America/New_York,1,02120 02121 02122 02124 02125 02126 02127 02128 02129 02210 02215 02467 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02133 02132 02131 02130 02203 02205 02163 02108 02109 02112 02117 02123 02137 02196 02201 02206 02211 02212 02217 02222 02241 02283 02284 02293 02297 02298,1840000455,Accela,https://www.boston.gov/boston-permits-and-licenses,4355184
